car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh)
FERRARI,GTC 4LUSSO T,3000.0,3900.0,Automatic Transmission,Petrol,LHD,Other,4 Seats,3 Doors,coupe,1,1,0,1,0,0,1,1,2020,12155848.999999987
MERCEDES,GLC CLASS,9000.0,2996.0,Automatic Transmission,Petrol,LHD,4WD,2 Seats,4 Doors,coupe,1,1,0,1,0,0,1,1,2022,9923696.0
HONDA,FIT 13G L PKG,105000.0,1310.0,Automatic Transmission,Petrol,RHD,2WD,5 Seats,5 Doors,hatchback,1,1,1,1,1,0,1,0,2015,767562.0
AUDI,A6,32000.0,2967.0,Automatic Transmission,Diesel,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021,6329722.0
MASERATI,GHIBLI,13000.0,3000.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020,7947288.0
BMW,X3,42000.0,2000.0,Automatic Transmission,Hybrid,RHD,4WD,7 Seats,5 Doors,suv,0,1,0,1,0,0,0,1,2020,5154509.0
MERCEDES,CLS CLASS,44000.0,2999.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019,7494256.0
BMW,X3,19000.0,2000.0,Automatic Transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,0,1,0,1,0,0,0,1,2022,7093045.0
AUDI,A4,2000.0,2000.0,Automatic Transmission,Diesel,RHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,0,2022,6022100.0
HONDA,VEZEL HYBRID X HONDA SENSING,64000.0,1490.0,Automatic Transmission,Hybrid,RHD,2WD,8 Seats,5 Doors,suv,1,1,1,1,1,1,1,1,2019,2250553.0
HONDA,JADE HYBRID X,134000.0,1490.0,Automatic Transmission,Hybrid,RHD,2WD,4 Seats,5 Doors,hatchback,1,1,1,1,1,1,1,1,2015,818440.0
